file,avg_total_kbps,peak_total_kbps,avg_download_kbps,avg_upload_kbps,total_data_mb,packets
home1.pcap,0.54,4.12,0.57,0.29,0.02,147
home2.pcap,34.83,309.61,27.57,10.43,1.7,2153
